source,target,relation,system_id
ECS Service (web frontend),VPC (main),unidirectional,main_system_01
ECS Service (auth service),VPC (main),unidirectional,main_system_01
ECS Service (catalog service),VPC (main),unidirectional,main_system_01
ECS Service (recommendation service),VPC (main),unidirectional,main_system_01
ECS Service (playback session service),VPC (main),unidirectional,main_system_01
ECS Service (encoding orchestrator),VPC (main),unidirectional,main_system_01
EC2 Auto Scaling Group (encoding workers),VPC (main),unidirectional,main_system_01
RDS (user accounts DB),VPC (main),unidirectional,main_system_01
RDS (billing DB),VPC (main),unidirectional,main_system_01
Aurora (catalog DB),VPC (main),unidirectional,main_system_01
DynamoDB (session store),VPC (main),unidirectional,main_system_01
DynamoDB (playback state),VPC (main),unidirectional,main_system_01
MSK / Kafka Cluster (event bus),VPC (main),unidirectional,main_system_01
Redshift (analytics warehouse),VPC (main),unidirectional,main_system_01
SageMaker Endpoint (reco model),VPC (main),unidirectional,main_system_01
